Proceso,Agno,COMA
Biomasa_VII,2030,123.14836468821204
Biomasa_VIII,2030,123.14836468821204
Biomasa_X-XIV,2030,123.14836468821204
Geotermica_SING,2030,164.85842952982975
Geotermica_VI,2030,164.85842952982975
Geotermica_VII,2030,164.85842952982975
Geotermica_VIII,2030,164.85842952982975
Solar_CSP_SING,2030,30.0
Solar_CSP_II-III,2030,30.0
Eolica_SING,2030,28.855884564618588
Eolica_II-III,2030,28.855884564618588
Eolica_IV,2030,28.855884564618588
Eolica_V,2030,28.855884564618588
Eolica_VI,2030,28.855884564618588
Eolica_VIII,2030,28.855884564618588
Eolica_X-XIV,2030,28.855884564618588
Hidro_Pasada_XIII,2030,56.85980811600677
Hidro_Pasada_VI,2030,56.85980811600677
Hidro_Pasada_VII,2030,56.85980811600677
Hidro_Pasada_VIII,2030,56.85980811600677
Hidro_Pasada_X-XIV,2030,56.85980811600677
Solar_FV_SING,2030,16.703559626873442
Solar_FV_II-III,2030,16.703559626873442
Solar_FV_IV,2030,16.703559626873442
Solar_FV_V,2030,16.703559626873442
Solar_FV_XIII,2030,16.703559626873442
Solar_FV_VI,2030,16.703559626873442
Carbon_SING,2031,66.15647074594807
Carbon_II-III,2031,66.15647074594807
GNL_CC_SING,2031,34.536843220645366
GNL_CC_II-III,2031,34.536843220645366
GNL_CC_VIII,2031,34.536843220645366
GNL_CA_SING,2031,34.536843220645366
GNL_CA_II-III,2031,34.536843220645366
GNL_CA_VIII,2031,34.536843220645366
Diesel_SING,2031,22.5
Diesel_IV,2031,22.5
Diesel_X-XIV,2031,22.5
Biomasa_VII,2031,122.57304164921788
Biomasa_VIII,2031,122.57304164921788
Biomasa_X-XIV,2031,122.57304164921788
Geotermica_SING,2031,163.7035903108271
Geotermica_VI,2031,163.7035903108271
Geotermica_VII,2031,163.7035903108271
Geotermica_VIII,2031,163.7035903108271
Solar_CSP_SING,2031,30.0
Solar_CSP_II-III,2031,30.0
Eolica_SING,2031,28.611485659670443
Eolica_II-III,2031,28.611485659670443
Eolica_IV,2031,28.611485659670443
Eolica_V,2031,28.611485659670443
Eolica_VI,2031,28.611485659670443
Eolica_VIII,2031,28.611485659670443
Eolica_X-XIV,2031,28.611485659670443
Hidro_Pasada_XIII,2031,57.01419838592691
Hidro_Pasada_VI,2031,57.01419838592691
Hidro_Pasada_VII,2031,57.01419838592691
Hidro_Pasada_VIII,2031,57.01419838592691
Hidro_Pasada_X-XIV,2031,57.01419838592691
Solar_FV_SING,2031,16.496142362987467
Solar_FV_II-III,2031,16.496142362987467
Solar_FV_IV,2031,16.496142362987467
Solar_FV_V,2031,16.496142362987467
Solar_FV_XIII,2031,16.496142362987467
Solar_FV_VI,2031,16.496142362987467
Carbon_SING,2032,66.28185669575981
Carbon_II-III,2032,66.28185669575981
GNL_CC_SING,2032,34.8240104802994
GNL_CC_II-III,2032,34.8240104802994
GNL_CC_VIII,2032,34.8240104802994
GNL_CA_SING,2032,34.8240104802994
GNL_CA_II-III,2032,34.8240104802994
GNL_CA_VIII,2032,34.8240104802994
Diesel_SING,2032,22.5
Diesel_IV,2032,22.5
Diesel_X-XIV,2032,22.5
Biomasa_VII,2032,121.99771861022371
Biomasa_VIII,2032,121.99771861022371
Biomasa_X-XIV,2032,121.99771861022371
Geotermica_SING,2032,162.5487510918245
Geotermica_VI,2032,162.5487510918245
Geotermica_VII,2032,162.5487510918245
