Sector,Energetico,GEI,FE
industrias_varias,petroleo_combustible,CH4,3.0
industrias_varias,gasolina,CH4,3.0
industrias_varias,kerenose,CH4,3.0
industrias_varias,gas_licuado,CH4,1.0
industrias_varias,gasolina_aviacion,CH4,3.0
industrias_varias,kerosene_aviacion,CH4,3.0
industrias_varias,nafta,CH4,3.0
industrias_varias,gas_refineria,CH4,1.0
industrias_varias,coque_petroleo,CH4,1.0
industrias_varias,derivados_industria_petroleo,CH4,0.0
industrias_varias,electricidad,CH4,0.0
industrias_varias,carbon,CH4,1.0
industrias_varias,coque_mineral,CH4,1.0
industrias_varias,alquitran,CH4,3.0
industrias_varias,gas_corriente,CH4,0.0
industrias_varias,gas_coque,CH4,0.0
industrias_varias,gas_alto_horno,CH4,1.0
industrias_varias,gas_natural,CH4,1.0
industrias_varias,metano,CH4,1.0
industrias_varias,biogas,CH4,1.0
industrias_varias,biomasa,CH4,0.0
industrias_varias,solar,CH4,0.0
industrias_varias,diesel,N2O,0.6
industrias_varias,petroleo_combustible,N2O,0.6
industrias_varias,gasolina,N2O,0.6
industrias_varias,kerenose,N2O,0.6
industrias_varias,gas_licuado,N2O,0.1
industrias_varias,gasolina_aviacion,N2O,0.6
industrias_varias,kerosene_aviacion,N2O,0.6
industrias_varias,nafta,N2O,0.6
industrias_varias,gas_refineria,N2O,0.1
industrias_varias,coque_petroleo,N2O,1.5
industrias_varias,derivados_industria_petroleo,N2O,0.0
industrias_varias,electricidad,N2O,0.0
industrias_varias,carbon,N2O,1.5
industrias_varias,coque_mineral,N2O,1.5
industrias_varias,alquitran,N2O,0.6
industrias_varias,gas_corriente,N2O,0.0
industrias_varias,gas_coque,N2O,0.0
industrias_varias,gas_alto_horno,N2O,0.1
industrias_varias,gas_natural,N2O,0.1
industrias_varias,metano,N2O,0.1
industrias_varias,biogas,N2O,0.1
industrias_varias,biomasa,N2O,0.0
industrias_varias,solar,N2O,0.0
cobre,diesel,CO2,74100.0
cobre,petroleo_combustible,CO2,74100.0
cobre,gasolina,CO2,69300.0
cobre,kerenose,CO2,71900.0
cobre,gas_licuado,CO2,63100.0
cobre,gasolina_aviacion,CO2,70000.0
cobre,kerosene_aviacion,CO2,71500.0
cobre,nafta,CO2,73300.0
cobre,gas_refineria,CO2,57600.0
cobre,coque_petroleo,CO2,107000.0
cobre,derivados_industria_petroleo,CO2,0.0
cobre,electricidad,CO2,0.0
cobre,carbon,CO2,94600.0
cobre,coque_mineral,CO2,107000.0
cobre,alquitran,CO2,80700.0
cobre,gas_corriente,CO2,0.0
cobre,gas_coque,CO2,0.0
cobre,gas_alto_horno,CO2,260000.0
cobre,gas_natural,CO2,56100.0
cobre,metano,CO2,54600.0
cobre,biogas,CO2,54600.0
cobre,biomasa,CO2,0.0
cobre,solar,CO2,0.0
cobre,diesel,CH4,3.0
cobre,petroleo_combustible,CH4,3.0
cobre,gasolina,CH4,3.0
cobre,kerenose,CH4,3.0
cobre,gas_licuado,CH4,1.0
cobre,gasolina_aviacion,CH4,3.0
cobre,kerosene_aviacion,CH4,3.0
cobre,nafta,CH4,3.0
cobre,gas_refineria,CH4,1.0
cobre,coque_petroleo,CH4,1.0
cobre,derivados_industria_petroleo,CH4,0.0
cobre,electricidad,CH4,0.0
cobre,carbon,CH4,1.0
cobre,coque_mineral,CH4,1.0
cobre,alquitran,CH4,3.0
cobre,gas_corriente,CH4,0.0
cobre,gas_coque,CH4,0.0
cobre,gas_alto_horno,CH4,1.0
cobre,gas_natural,CH4,1.0
cobre,metano,CH4,1.0
cobre,biogas,CH4,1.0
cobre,biomasa,CH4,0.0
cobre,solar,CH4,0.0
cobre,diesel,N2O,0.6
cobre,petroleo_combustible,N2O,0.6
cobre,gasolina,N2O,0.6
cobre,kerenose,N2O,0.6
cobre,gas_licuado,N2O,0.1
cobre,gasolina_aviacion,N2O,0.6
cobre,kerosene_aviacion,N2O,0.6
cobre,nafta,N2O,0.6
cobre,gas_refineria,N2O,0.1
cobre,coque_petroleo,N2O,1.5
cobre,derivados_industria_petroleo,N2O,0.0
cobre,electricidad,N2O,0.0
cobre,carbon,N2O,1.5
cobre,coque_mineral,N2O,1.5
cobre,alquitran,N2O,0.6
cobre,gas_corriente,N2O,0.0
cobre,gas_coque,N2O,0.0
cobre,gas_alto_horno,N2O,0.1
cobre,gas_natural,N2O,0.1
cobre,metano,N2O,0.1
cobre,biogas,N2O,0.1
cobre,biomasa,N2O,0.0
cobre,solar,N2O,0.0
generacion_electrica,diesel,CO2,74100.0
generacion_electrica,petroleo_combustible,CO2,74100.0
generacion_electrica,gasolina,CO2,69300.0
generacion_electrica,kerenose,CO2,71900.0
generacion_electrica,gas_licuado,CO2,63100.0
generacion_electrica,gasolina_aviacion,CO2,70000.0
generacion_electrica,kerosene_aviacion,CO2,71500.0
generacion_electrica,nafta,CO2,73300.0
generacion_electrica,gas_refineria,CO2,57600.0
generacion_electrica,coque_petroleo,CO2,107000.0
generacion_electrica,derivados_industria_petroleo,CO2,0.0
generacion_electrica,electricidad,CO2,0.0
generacion_electrica,carbon,CO2,94600.0
generacion_electrica,coque_mineral,CO2,107000.0
generacion_electrica,alquitran,CO2,80700.0
generacion_electrica,gas_corriente,CO2,0.0
